,CustomerID,MonetaryValue,Frequncy,LastInvoiceDate,Recency,Cluster,ClusterLabel,MonetaryValue Per 100 Pounds 
2,12348.0,1437.24,4,2011-09-25 13:13:00,74,2,Loyal VIPs,14.3724
3,12349.0,1457.55,1,2011-11-21 09:51:00,18,3,Upsell Potential,14.5755
4,12350.0,294.4,1,2011-02-02 16:01:00,309,0,Win-Back Campaign,2.944
5,12352.0,1385.74,7,2011-09-28 14:58:00,71,2,Loyal VIPs,13.8574
6,12353.0,89.0,1,2011-05-19 17:47:00,203,0,Win-Back Campaign,0.89
7,12354.0,1079.4,1,2011-04-21 13:11:00,231,0,Win-Back Campaign,10.794
8,12355.0,459.4,1,2011-05-09 13:49:00,213,0,Win-Back Campaign,4.593999999999999
11,12358.0,928.0600000000001,2,2011-07-12 10:04:00,150,3,Upsell Potential,9.2806
14,12361.0,174.9,1,2011-02-25 13:51:00,286,0,Win-Back Campaign,1.749
16,12363.0,552.0,2,2011-08-22 10:18:00,109,1,Minimal Effort Group,5.52
17,12364.0,1208.1,4,2011-09-22 16:07:00,77,2,Loyal VIPs,12.081
18,12365.0,320.69,1,2011-02-21 13:51:00,290,0,Win-Back Campaign,3.2069
19,12367.0,150.9,1,2011-12-05 16:48:00,3,1,Minimal Effort Group,1.5090000000000001
21,12371.0,1527.96,1,2011-10-11 10:43:00,59,3,Upsell Potential,15.2796
22,12372.0,1196.04,3,2011-09-29 12:12:00,71,3,Upsell Potential,11.9604
23,12373.0,324.6,1,2011-02-01 13:10:00,310,0,Win-Back Campaign,3.2460000000000004
24,12374.0,622.93,1,2011-11-14 15:37:00,24,1,Minimal Effort Group,6.229299999999999
25,12375.0,377.5,2,2011-09-02 14:23:00,97,1,Minimal Effort Group,3.775
26,12377.0,1548.12,2,2010-12-20 09:37:00,354,0,Win-Back Campaign,15.4812
28,12379.0,777.24,2,2011-09-19 10:09:00,81,3,Upsell Potential,7.7724
30,12381.0,1474.81,3,2011-08-12 09:57:00,119,3,Upsell Potential,14.748099999999999
31,12383.0,1628.56,5,2011-06-08 08:02:00,184,2,Loyal VIPs,16.2856
32,12384.0,425.27000000000004,2,2011-08-10 11:23:00,121,1,Minimal Effort Group,4.252700000000001
33,12386.0,401.9,2,2010-12-08 09:53:00,366,0,Win-Back Campaign,4.019
35,12390.0,504.84000000000003,1,2011-09-21 09:33:00,79,1,Minimal Effort Group,5.0484
36,12391.0,460.89,1,2011-11-18 12:07:00,21,1,Minimal Effort Group,4.6089
37,12393.0,1582.6000000000001,4,2011-09-28 15:41:00,71,2,Loyal VIPs,15.826
38,12394.0,1080.48,2,2011-05-06 14:01:00,216,3,Upsell Potential,10.8048
40,12397.0,2214.9,2,2011-07-27 14:21:00,134,2,Loyal VIPs,22.149
41,12398.0,1435.66,1,2011-10-25 10:27:00,45,3,Upsell Potential,14.3566
42,12399.0,1033.65,4,2011-08-12 13:15:00,118,3,Upsell Potential,10.336500000000001
43,12401.0,69.3,1,2011-02-09 13:50:00,302,0,Win-Back Campaign,0.693
44,12402.0,195.6,1,2011-01-20 13:49:00,322,0,Win-Back Campaign,1.956
45,12403.0,391.7,1,2011-10-21 10:51:00,49,1,Minimal Effort Group,3.917
46,12405.0,1390.39,1,2011-07-14 08:52:00,148,3,Upsell Potential,13.9039
48,12407.0,1507.1200000000001,5,2011-07-06 09:49:00,156,2,Loyal VIPs,15.071200000000001
51,12410.0,533.33,2,2011-02-04 10:39:00,308,0,Win-Back Campaign,5.3333
